otu-2:m23n715-s522,m23n715-s522
otu-3:m23n715-s522,m23n715-s522
otu-4:m23n715-s522,m23n715-s522
otu-8:m23n715-s522,m23n715-s522
otu-9:m23n715-s522,m23n715-s522
otu-10:m23n715-s522,m23n715-s522
otu-11:m23n715-s522,m23n715-s522
otu-12:m23n715-s522,m23n715-s522
otu-14:m23n715-s522,m23n715-s522
otu-17:m23n715-s522,m23n715-s522
otu-18:m23n715-s522,m23n715-s522
otu-19:m23n715-s522,m23n715-s522
otu-20:m23n715-s522,m23n715-s522
otu-21:m23n715-s522,m23n715-s522
otu-25:m23n715-s522,m23n715-s522
otu-26:m23n715-s522,m23n715-s522
otu-27:m23n715-s522,m23n715-s522
otu-28:m23n715-s522,m23n715-s522
otu-30:m23n715-s522,m23n715-s522
otu-0:m48n729-s520,m48n729-s520
otu-1:m48n729-s520,m48n729-s520
otu-3:m48n729-s520,m48n729-s520
otu-4:m48n729-s520,m48n729-s520
otu-5:m48n729-s520,m48n729-s520
otu-6:m48n729-s520,m48n729-s520
otu-7:m48n729-s520,m48n729-s520
otu-10:m48n729-s520,m48n729-s520
otu-11:m48n729-s520,m48n729-s520
otu-12:m48n729-s520,m48n729-s520
otu-13:m48n729-s520,m48n729-s520
otu-15:m48n729-s520,m48n729-s520
otu-16:m48n729-s520,m48n729-s520
otu-22:m48n729-s520,m48n729-s520
otu-23:m48n729-s520,m48n729-s520
otu-24:m48n729-s520,m48n729-s520
otu-29:m48n729-s520,m48n729-s520
otu-0:m22n729-s521,m22n729-s521
otu-1:m22n729-s521,m22n729-s521
otu-3:m22n729-s521,m22n729-s521
otu-4:m22n729-s521,m22n729-s521
otu-5:m22n729-s521,m22n729-s521
otu-6:m22n729-s521,m22n729-s521
otu-7:m22n729-s521,m22n729-s521
otu-10:m22n729-s521,m22n729-s521
otu-11:m22n729-s521,m22n729-s521
otu-13:m22n729-s521,m22n729-s521
otu-15:m22n729-s521,m22n729-s521
otu-16:m22n729-s521,m22n729-s521
otu-22:m22n729-s521,m22n729-s521
otu-23:m22n729-s521,m22n729-s521
otu-24:m22n729-s521,m22n729-s521
otu-0:m23n715-s520,m23n715-s520
otu-1:m23n715-s520,m23n715-s520
otu-3:m23n715-s520,m23n715-s520
otu-4:m23n715-s520,m23n715-s520
otu-5:m23n715-s520,m23n715-s520
otu-6:m23n715-s520,m23n715-s520
otu-7:m23n715-s520,m23n715-s520
otu-10:m23n715-s520,m23n715-s520
otu-11:m23n715-s520,m23n715-s520
otu-12:m23n715-s520,m23n715-s520
otu-13:m23n715-s520,m23n715-s520
otu-15:m23n715-s520,m23n715-s520
otu-16:m23n715-s520,m23n715-s520
otu-22:m23n715-s520,m23n715-s520
otu-23:m23n715-s520,m23n715-s520
otu-24:m23n715-s520,m23n715-s520
otu-29:m23n715-s520,m23n715-s520
otu-30:m23n715-s520,m23n715-s520
otu-32:m23n715-s520,m23n715-s520
otu-0:m23n715-s521,m23n715-s521
otu-1:m23n715-s521,m23n715-s521
otu-3:m23n715-s521,m23n715-s521
otu-4:m23n715-s521,m23n715-s521
otu-5:m23n715-s521,m23n715-s521
otu-6:m23n715-s521,m23n715-s521
otu-7:m23n715-s521,m23n715-s521
otu-10:m23n715-s521,m23n715-s521
otu-11:m23n715-s521,m23n715-s521
otu-13:m23n715-s521,m23n715-s521
otu-15:m23n715-s521,m23n715-s521
otu-16:m23n715-s521,m23n715-s521
otu-22:m23n715-s521,m23n715-s521
otu-23:m23n715-s521,m23n715-s521
otu-24:m23n715-s521,m23n715-s521
otu-29:m23n715-s521,m23n715-s521
otu-0:m22n729-s520,m22n729-s520
otu-1:m22n729-s520,m22n729-s520
otu-3:m22n729-s520,m22n729-s520
otu-4:m22n729-s520,m22n729-s520
otu-5:m22n729-s520,m22n729-s520
otu-6:m22n729-s520,m22n729-s520
otu-7:m22n729-s520,m22n729-s520
otu-10:m22n729-s520,m22n729-s520
otu-11:m22n729-s520,m22n729-s520
otu-12:m22n729-s520,m22n729-s520
otu-13:m22n729-s520,m22n729-s520
otu-15:m22n729-s520,m22n729-s520
otu-16:m22n729-s520,m22n729-s520
otu-22:m22n729-s520,m22n729-s520
otu-23:m22n729-s520,m22n729-s520
otu-24:m22n729-s520,m22n729-s520
otu-29:m22n729-s520,m22n729-s520
otu-2:m22n729-s522,m22n729-s522
otu-3:m22n729-s522,m22n729-s522
otu-4:m22n729-s522,m22n729-s522
otu-8:m22n729-s522,m22n729-s522
otu-9:m22n729-s522,m22n729-s522
otu-10:m22n729-s522,m22n729-s522
otu-11:m22n729-s522,m22n729-s522
otu-12:m22n729-s522,m22n729-s522
otu-14:m22n729-s522,m22n729-s522
otu-17:m22n729-s522,m22n729-s522
otu-18:m22n729-s522,m22n729-s522
otu-19:m22n729-s522,m22n729-s522
otu-20:m22n729-s522,m22n729-s522
otu-21:m22n729-s522,m22n729-s522
otu-25:m22n729-s522,m22n729-s522
otu-26:m22n729-s522,m22n729-s522
otu-27:m22n729-s522,m22n729-s522
otu-28:m22n729-s522,m22n729-s522
otu-30:m22n729-s522,m22n729-s522
otu-0:m48n729-s521,m48n729-s521
otu-1:m48n729-s521,m48n729-s521
otu-3:m48n729-s521,m48n729-s521
otu-4:m48n729-s521,m48n729-s521
otu-5:m48n729-s521,m48n729-s521
otu-6:m48n729-s521,m48n729-s521
otu-7:m48n729-s521,m48n729-s521
otu-10:m48n729-s521,m48n729-s521
otu-11:m48n729-s521,m48n729-s521
otu-12:m48n729-s521,m48n729-s521
otu-13:m48n729-s521,m48n729-s521
otu-15:m48n729-s521,m48n729-s521
otu-16:m48n729-s521,m48n729-s521
otu-18:m48n729-s521,m48n729-s521
otu-22:m48n729-s521,m48n729-s521
otu-23:m48n729-s521,m48n729-s521
otu-24:m48n729-s521,m48n729-s521
otu-25:m48n729-s521,m48n729-s521
otu-29:m48n729-s521,m48n729-s521
otu-31:m48n729-s521,m48n729-s521
otu-2:m48n729-s522,m48n729-s522
otu-3:m48n729-s522,m48n729-s522
otu-4:m48n729-s522,m48n729-s522
otu-8:m48n729-s522,m48n729-s522
otu-9:m48n729-s522,m48n729-s522
otu-10:m48n729-s522,m48n729-s522
otu-11:m48n729-s522,m48n729-s522
otu-12:m48n729-s522,m48n729-s522
otu-14:m48n729-s522,m48n729-s522
otu-17:m48n729-s522,m48n729-s522
otu-18:m48n729-s522,m48n729-s522
otu-19:m48n729-s522,m48n729-s522
otu-20:m48n729-s522,m48n729-s522
otu-21:m48n729-s522,m48n729-s522
otu-25:m48n729-s522,m48n729-s522
otu-26:m48n729-s522,m48n729-s522
otu-27:m48n729-s522,m48n729-s522
otu-28:m48n729-s522,m48n729-s522
otu-30:m48n729-s522,m48n729-s522
