otu-2:m48n729-s522,otu-2:m23n715-s522,454
otu-3:m48n729-s522,otu-3:m23n715-s522,295
otu-4:m22n729-s520,otu-4:m23n715-s522,82
otu-8:m48n729-s522,otu-8:m23n715-s522,317
otu-9:m48n729-s522,otu-9:m23n715-s522,293
otu-10:m48n729-s522,otu-10:m23n715-s522,118
otu-11:m48n729-s522,otu-11:m23n715-s522,141
otu-12:m48n729-s522,otu-12:m23n715-s522,232
otu-14:m48n729-s522,otu-14:m23n715-s522,214
otu-17:m48n729-s522,otu-17:m23n715-s522,184
otu-18:m48n729-s522,otu-18:m23n715-s522,103
otu-19:m48n729-s522,otu-19:m23n715-s522,119
otu-20:m48n729-s522,otu-20:m23n715-s522,151
otu-21:m48n729-s522,otu-21:m23n715-s522,115
otu-25:m48n729-s522,otu-25:m23n715-s522,85
otu-26:m48n729-s522,otu-26:m23n715-s522,90
otu-27:m48n729-s522,otu-27:m23n715-s522,53
otu-28:m48n729-s522,otu-28:m23n715-s522,46
otu-30:m22n729-s522,otu-30:m23n715-s522,9
otu-0:m48n729-s521,otu-0:m48n729-s520,705
otu-1:m22n729-s520,otu-1:m48n729-s520,554
otu-3:m48n729-s522,otu-3:m48n729-s520,125
otu-4:m22n729-s520,otu-4:m48n729-s520,303
otu-5:m48n729-s521,otu-5:m48n729-s520,333
otu-6:m48n729-s521,otu-6:m48n729-s520,246
otu-7:m22n729-s520,otu-7:m48n729-s520,354
otu-10:m48n729-s522,otu-10:m48n729-s520,110
otu-11:m48n729-s522,otu-11:m48n729-s520,122
otu-12:m48n729-s522,otu-12:m48n729-s520,74
otu-13:m48n729-s521,otu-13:m48n729-s520,183
otu-15:m48n729-s520,otu-15:m48n729-s520,223
otu-16:m48n729-s521,otu-16:m48n729-s520,132
otu-22:m48n729-s521,otu-22:m48n729-s520,63
otu-23:m48n729-s521,otu-23:m48n729-s520,89
otu-24:m48n729-s521,otu-24:m48n729-s520,62
otu-29:m22n729-s520,otu-29:m48n729-s520,15
otu-0:m48n729-s521,otu-0:m22n729-s521,1338
otu-1:m22n729-s520,otu-1:m22n729-s521,217
otu-3:m48n729-s522,otu-3:m22n729-s521,134
otu-4:m22n729-s520,otu-4:m22n729-s521,184
otu-5:m48n729-s521,otu-5:m22n729-s521,314
otu-6:m48n729-s521,otu-6:m22n729-s521,255
otu-7:m22n729-s520,otu-7:m22n729-s521,219
otu-10:m48n729-s522,otu-10:m22n729-s521,108
otu-11:m48n729-s522,otu-11:m22n729-s521,78
otu-13:m48n729-s521,otu-13:m22n729-s521,138
otu-15:m48n729-s520,otu-15:m22n729-s521,44
otu-16:m48n729-s521,otu-16:m22n729-s521,73
otu-22:m48n729-s521,otu-22:m22n729-s521,91
otu-23:m48n729-s521,otu-23:m22n729-s521,75
otu-24:m48n729-s521,otu-24:m22n729-s521,102
otu-0:m48n729-s521,otu-0:m23n715-s520,485
otu-1:m22n729-s520,otu-1:m23n715-s520,510
otu-3:m48n729-s522,otu-3:m23n715-s520,106
otu-4:m22n729-s520,otu-4:m23n715-s520,291
otu-5:m48n729-s521,otu-5:m23n715-s520,222
otu-6:m48n729-s521,otu-6:m23n715-s520,167
otu-7:m22n729-s520,otu-7:m23n715-s520,289
otu-10:m48n729-s522,otu-10:m23n715-s520,163
otu-11:m48n729-s522,otu-11:m23n715-s520,114
otu-12:m48n729-s522,otu-12:m23n715-s520,48
otu-13:m48n729-s521,otu-13:m23n715-s520,146
otu-15:m48n729-s520,otu-15:m23n715-s520,152
otu-16:m48n729-s521,otu-16:m23n715-s520,143
otu-22:m48n729-s521,otu-22:m23n715-s520,54
otu-23:m48n729-s521,otu-23:m23n715-s520,70
otu-24:m48n729-s521,otu-24:m23n715-s520,44
otu-29:m22n729-s520,otu-29:m23n715-s520,12
otu-30:m22n729-s522,otu-30:m23n715-s520,6
otu-32:m23n715-s520,otu-32:m23n715-s520,24
otu-0:m48n729-s521,otu-0:m23n715-s521,1297
otu-1:m22n729-s520,otu-1:m23n715-s521,279
otu-3:m48n729-s522,otu-3:m23n715-s521,161
otu-4:m22n729-s520,otu-4:m23n715-s521,160
otu-5:m48n729-s521,otu-5:m23n715-s521,339
otu-6:m48n729-s521,otu-6:m23n715-s521,351
otu-7:m22n729-s520,otu-7:m23n715-s521,175
otu-10:m48n729-s522,otu-10:m23n715-s521,151
otu-11:m48n729-s522,otu-11:m23n715-s521,77
otu-13:m48n729-s521,otu-13:m23n715-s521,161
otu-15:m48n729-s520,otu-15:m23n715-s521,71
otu-16:m48n729-s521,otu-16:m23n715-s521,81
otu-22:m48n729-s521,otu-22:m23n715-s521,138
otu-23:m48n729-s521,otu-23:m23n715-s521,91
otu-24:m48n729-s521,otu-24:m23n715-s521,88
otu-29:m22n729-s520,otu-29:m23n715-s521,12
otu-0:m48n729-s521,otu-0:m22n729-s520,565
otu-1:m22n729-s520,otu-1:m22n729-s520,628
otu-3:m48n729-s522,otu-3:m22n729-s520,202
otu-4:m22n729-s520,otu-4:m22n729-s520,438
otu-5:m48n729-s521,otu-5:m22n729-s520,327
otu-6:m48n729-s521,otu-6:m22n729-s520,177
otu-7:m22n729-s520,otu-7:m22n729-s520,450
otu-10:m48n729-s522,otu-10:m22n729-s520,117
otu-11:m48n729-s522,otu-11:m22n729-s520,177
otu-12:m48n729-s522,otu-12:m22n729-s520,94
otu-13:m48n729-s521,otu-13:m22n729-s520,223
otu-15:m48n729-s520,otu-15:m22n729-s520,162
otu-16:m48n729-s521,otu-16:m22n729-s520,142
otu-22:m48n729-s521,otu-22:m22n729-s520,109
otu-23:m48n729-s521,otu-23:m22n729-s520,93
otu-24:m48n729-s521,otu-24:m22n729-s520,76
otu-29:m22n729-s520,otu-29:m22n729-s520,21
otu-2:m48n729-s522,otu-2:m22n729-s522,822
otu-3:m48n729-s522,otu-3:m22n729-s522,487
otu-4:m22n729-s520,otu-4:m22n729-s522,190
otu-8:m48n729-s522,otu-8:m22n729-s522,504
otu-9:m48n729-s522,otu-9:m22n729-s522,378
otu-10:m48n729-s522,otu-10:m22n729-s522,174
otu-11:m48n729-s522,otu-11:m22n729-s522,136
otu-12:m48n729-s522,otu-12:m22n729-s522,265
otu-14:m48n729-s522,otu-14:m22n729-s522,282
otu-17:m48n729-s522,otu-17:m22n729-s522,202
otu-18:m48n729-s522,otu-18:m22n729-s522,126
otu-19:m48n729-s522,otu-19:m22n729-s522,187
otu-20:m48n729-s522,otu-20:m22n729-s522,188
otu-21:m48n729-s522,otu-21:m22n729-s522,159
otu-25:m48n729-s522,otu-25:m22n729-s522,130
otu-26:m48n729-s522,otu-26:m22n729-s522,123
otu-27:m48n729-s522,otu-27:m22n729-s522,77
otu-28:m48n729-s522,otu-28:m22n729-s522,61
otu-30:m22n729-s522,otu-30:m22n729-s522,17
otu-0:m48n729-s521,otu-0:m48n729-s521,2490
otu-1:m22n729-s520,otu-1:m48n729-s521,465
otu-3:m48n729-s522,otu-3:m48n729-s521,210
otu-4:m22n729-s520,otu-4:m48n729-s521,287
otu-5:m48n729-s521,otu-5:m48n729-s521,544
otu-6:m48n729-s521,otu-6:m48n729-s521,650
otu-7:m22n729-s520,otu-7:m48n729-s521,306
otu-10:m48n729-s522,otu-10:m48n729-s521,144
otu-11:m48n729-s522,otu-11:m48n729-s521,114
otu-12:m48n729-s522,otu-12:m48n729-s521,66
otu-13:m48n729-s521,otu-13:m48n729-s521,274
otu-15:m48n729-s520,otu-15:m48n729-s521,118
otu-16:m48n729-s521,otu-16:m48n729-s521,177
otu-18:m48n729-s522,otu-18:m48n729-s521,145
otu-22:m48n729-s521,otu-22:m48n729-s521,141
otu-23:m48n729-s521,otu-23:m48n729-s521,131
otu-24:m48n729-s521,otu-24:m48n729-s521,160
otu-25:m48n729-s522,otu-25:m48n729-s521,41
otu-29:m22n729-s520,otu-29:m48n729-s521,20
otu-31:m48n729-s521,otu-31:m48n729-s521,38
otu-2:m48n729-s522,otu-2:m48n729-s522,1340
otu-3:m48n729-s522,otu-3:m48n729-s522,705
otu-4:m22n729-s520,otu-4:m48n729-s522,242
otu-8:m48n729-s522,otu-8:m48n729-s522,781
otu-9:m48n729-s522,otu-9:m48n729-s522,705
otu-10:m48n729-s522,otu-10:m48n729-s522,231
otu-11:m48n729-s522,otu-11:m48n729-s522,303
otu-12:m48n729-s522,otu-12:m48n729-s522,383
otu-14:m48n729-s522,otu-14:m48n729-s522,419
otu-17:m48n729-s522,otu-17:m48n729-s522,311
otu-18:m48n729-s522,otu-18:m48n729-s522,270
otu-19:m48n729-s522,otu-19:m48n729-s522,315
otu-20:m48n729-s522,otu-20:m48n729-s522,272
otu-21:m48n729-s522,otu-21:m48n729-s522,323
otu-25:m48n729-s522,otu-25:m48n729-s522,236
otu-26:m48n729-s522,otu-26:m48n729-s522,193
otu-27:m48n729-s522,otu-27:m48n729-s522,196
otu-28:m48n729-s522,otu-28:m48n729-s522,127
otu-30:m22n729-s522,otu-30:m48n729-s522,12
